Data da Extração,Número,Classe,Procurador Responsável,Órgão Padronizado,Valor da causa,Status Normalizado,UF_1,UF_2
2026-01-05,6435510-84.2023.4.01.3646,Apelação Cível,Liz Guerra,TERCEIRA SEÇÃO,49760.34,CONCLUÍDO,AP,
2025-12-01,9659227-74.2024.4.01.3307,Execução Fiscal,Leonardo Sales,TERCEIRA SEÇÃO,44747.28,CONCLUÍDO,"SC",RR
2025-12-28,5547024-65.2025.4.01.3349,Agravo de Instrumento,Leonardo Sales,SEXTA TURMA,31735.13,PENDENTE,TO,
2025-12-31,1566283-69.2022.4.01.3416,Agravo de Instrumento,Francisco da Paz,PRIMEIRA TURMA,47884.61,CONCLUÍDO,DF,
2025-12-21,1417929-63.2022.4.01.3235,Agravo de Instrumento,Luiz Miguel Albuquerque,PRIMEIRA SEÇÃO,41606.35,CONCLUÍDO,PI,
2025-12-23,4461636-62.2022.4.01.3568,Mandado de Segurança,Leonardo Sales,TERCEIRA SEÇÃO,33911.9,PENDENTE,"SE",AP
2026-01-05,9915599-33.2024.4.01.3918,Execução Fiscal,Francisco da Paz,SEGUNDA SEÇÃO,2961.56,CONCLUÍDO,AC,
2025-12-28,4446518-49.2022.4.01.3647,Apelação Cível,Leonardo Sales,SEGUNDA TURMA,47095.11,CONCLUÍDO,AC,
2025-12-17,2240564-71.2023.4.01.3115,Mandado de Segurança,Francisco da Paz,SEXTA TURMA,2435.69,CONCLUÍDO,PI,
2025-12-26,8394751-34.2021.4.01.3499,Apelação Cível,Luiz Miguel Albuquerque,QUARTA TURMA,39993.51,CONCLUÍDO,ES,
2025-12-21,7651686-57.2024.4.01.3427,Apelação Cível,Liz Guerra,QUINTA TURMA,24661.99,PENDENTE,AC,
2026-01-12,8350600-66.2025.4.01.3693,Mandado de Segurança,Brayan Teixeira,SEGUNDA SEÇÃO,44750.92,PENDENTE,"GO",DF
2025-12-08,3300826-80.2023.4.01.3291,Apelação Cível,Rafael Ramos,TERCEIRA TURMA,34227.97,CONCLUÍDO,MA,
2025-12-11,2241491-38.2022.4.01.3955,Mandado de Segurança,Francisco da Paz,TERCEIRA SEÇÃO,3780.85,CONCLUÍDO,MG,
2025-12-02,9930028-22.2021.4.01.3555,Agravo de Instrumento,Francisco da Paz,TERCEIRA TURMA,6222.15,PENDENTE,AM,
2025-12-18,7108248-39.2022.4.01.3191,Mandado de Segurança,Leonardo Sales,CORTE ESPECIAL,22285.6,CONCLUÍDO,"RJ",RJ
2025-12-12,9037534-79.2023.4.01.3169,Mandado de Segurança,Isabela da Paz,QUARTA TURMA,22612.24,CONCLUÍDO,PR,
2025-12-12,2120652-18.2024.4.01.3309,Execução Fiscal,Cecilia Costela,PRIMEIRA TURMA,9780.09,PENDENTE,RN,
2026-01-15,2383097-37.2023.4.01.3536,Execução Fiscal,Liz Guerra,TERCEIRA SEÇÃO,48142.25,PENDENTE,RJ,
2025-12-01,1776289-65.2021.4.01.3817,Agravo de Instrumento,Liz Guerra,QUARTA TURMA,22836.94,PENDENTE,CE,
2025-12-07,8843005-24.2020.4.01.3236,Execução Fiscal,Luiz Miguel Albuquerque,SEXTA TURMA,49677.79,PENDENTE,RR,
2025-12-28,5600043-39.2023.4.01.3120,Execução Fiscal,Ana Laura Vargas,PRIMEIRA TURMA,28279.42,PENDENTE,SC,
2025-12-06,4760239-21.2024.4.01.3033,Execução Fiscal,Brayan Teixeira,TERCEIRA TURMA,3939.56,CONCLUÍDO,PB,
2025-12-09,9337261-13.2020.4.01.3529,Agravo de Instrumento,Anthony Nogueira,TERCEIRA TURMA,47635.86,PENDENTE,"PI",PA
2025-12-09,4912285-29.2024.4.01.3515,Apelação Cível,Francisco da Paz,PRIMEIRA TURMA,4992.53,PENDENTE,TO,
2025-12-15,9686441-99.2025.4.01.3641,Mandado de Segurança,Francisco da Paz,TERCEIRA TURMA,45919.1,PENDENTE,PB,
2025-12-05,4634105-61.2022.4.01.3893,Agravo de Instrumento,Francisco da Paz,PRIMEIRA SEÇÃO,14921.38,CONCLUÍDO,RR,
2025-12-28,4290125-11.2021.4.01.3935,Execução Fiscal,Ana Laura Vargas,CORTE ESPECIAL,33622.14,CONCLUÍDO,MT,
2025-12-15,4627944-65.2025.4.01.3288,Execução Fiscal,Luiz Miguel Albuquerque,TERCEIRA SEÇÃO,32632.51,PENDENTE,PA,
2025-12-19,8345241-23.2020.4.01.3050,Mandado de Segurança,Cecilia Costela,PRIMEIRA TURMA,7473.78,PENDENTE,MS,
2025-12-23,7319199-83.2024.4.01.3951,Mandado de Segurança,Francisco da Paz,SEGUNDA SEÇÃO,48748.31,CONCLUÍDO,"GO",MA
2025-12-10,4214772-44.2022.4.01.3127,Agravo de Instrumento,Isabela da Paz,PRIMEIRA TURMA,39672.11,PENDENTE,PA,
2026-01-03,3484427-29.2020.4.01.3677,Execução Fiscal,Luiz Miguel Albuquerque,SEGUNDA TURMA,53748.87,CONCLUÍDO,RJ,
2025-12-02,1710560-81.2022.4.01.3136,Apelação Cível,Cecilia Costela,SEXTA TURMA,2028.75,CONCLUÍDO,MS,
2025-12-02,8804777-46.2022.4.01.3314,Mandado de Segurança,Cecilia Costela,PRIMEIRA SEÇÃO,6114.83,PENDENTE,AL,
2026-01-17,6017207-89.2022.4.01.3473,Execução Fiscal,Isabela da Paz,TERCEIRA TURMA,49134.44,CONCLUÍDO,SP,
2026-01-20,2276381-14.2025.4.01.3705,Mandado de Segurança,Luiz Miguel Albuquerque,QUARTA TURMA,27815.27,CONCLUÍDO,SC,
