Data da Extração,Número,Órgão Padronizado,Lista_Materias
2026-01-05,6435510-84.2023.4.01.3646,TERCEIRA SEÇÃO,1.1.9
2025-12-01,9659227-74.2024.4.01.3307,TERCEIRA SEÇÃO,1.4.9
2025-12-01,9659227-74.2024.4.01.3307,TERCEIRA SEÇÃO,2.5.8
2025-12-28,5547024-65.2025.4.01.3349,SEXTA TURMA,1.1.2
2025-12-31,1566283-69.2022.4.01.3416,PRIMEIRA TURMA,1.4.6
2025-12-21,1417929-63.2022.4.01.3235,PRIMEIRA SEÇÃO,1.4.3
2025-12-23,4461636-62.2022.4.01.3568,TERCEIRA SEÇÃO,1.4.5
2025-12-23,4461636-62.2022.4.01.3568,TERCEIRA SEÇÃO,2.3.8
2026-01-05,9915599-33.2024.4.01.3918,SEGUNDA SEÇÃO,1.4.6
2025-12-28,4446518-49.2022.4.01.3647,SEGUNDA TURMA,1.1.4
2025-12-28,4446518-49.2022.4.01.3647,SEGUNDA TURMA,2.4.3
2025-12-17,2240564-71.2023.4.01.3115,SEXTA TURMA,1.4.8
2025-12-26,8394751-34.2021.4.01.3499,QUARTA TURMA,1.2.2
2025-12-21,7651686-57.2024.4.01.3427,QUINTA TURMA,1.5.3
2026-01-12,8350600-66.2025.4.01.3693,SEGUNDA SEÇÃO,1.3.7
2025-12-08,3300826-80.2023.4.01.3291,TERCEIRA TURMA,1.4.9
2025-12-11,2241491-38.2022.4.01.3955,TERCEIRA SEÇÃO,1.5.7
2025-12-02,9930028-22.2021.4.01.3555,TERCEIRA TURMA,1.1.8
2025-12-18,7108248-39.2022.4.01.3191,CORTE ESPECIAL,1.3.4
2025-12-18,7108248-39.2022.4.01.3191,CORTE ESPECIAL,2.1.9
2025-12-12,9037534-79.2023.4.01.3169,QUARTA TURMA,1.3.1
2025-12-12,2120652-18.2024.4.01.3309,PRIMEIRA TURMA,1.1.8
2026-01-15,2383097-37.2023.4.01.3536,TERCEIRA SEÇÃO,1.2.4
2026-01-15,2383097-37.2023.4.01.3536,TERCEIRA SEÇÃO,2.5.5
2025-12-01,1776289-65.2021.4.01.3817,QUARTA TURMA,1.4.2
2025-12-01,1776289-65.2021.4.01.3817,QUARTA TURMA,2.5.6
2025-12-07,8843005-24.2020.4.01.3236,SEXTA TURMA,1.5.6
2025-12-28,5600043-39.2023.4.01.3120,PRIMEIRA TURMA,1.4.8
2025-12-28,5600043-39.2023.4.01.3120,PRIMEIRA TURMA,2.3.4
2025-12-06,4760239-21.2024.4.01.3033,TERCEIRA TURMA,1.3.4
2025-12-09,9337261-13.2020.4.01.3529,TERCEIRA TURMA,1.2.9
2025-12-09,4912285-29.2024.4.01.3515,PRIMEIRA TURMA,1.2.6
2025-12-15,9686441-99.2025.4.01.3641,TERCEIRA TURMA,1.5.6
2025-12-05,4634105-61.2022.4.01.3893,PRIMEIRA SEÇÃO,1.2.3
2025-12-05,4634105-61.2022.4.01.3893,PRIMEIRA SEÇÃO,2.3.3
2025-12-28,4290125-11.2021.4.01.3935,CORTE ESPECIAL,1.1.1
2025-12-15,4627944-65.2025.4.01.3288,TERCEIRA SEÇÃO,1.5.8
2025-12-15,4627944-65.2025.4.01.3288,TERCEIRA SEÇÃO,2.2.4
2025-12-19,8345241-23.2020.4.01.3050,PRIMEIRA TURMA,1.1.7
2025-12-19,8345241-23.2020.4.01.3050,PRIMEIRA TURMA,2.4.3
2025-12-23,7319199-83.2024.4.01.3951,SEGUNDA SEÇÃO,1.5.9
2025-12-10,4214772-44.2022.4.01.3127,PRIMEIRA TURMA,1.1.9
2026-01-03,3484427-29.2020.4.01.3677,SEGUNDA TURMA,1.4.3
2025-12-02,1710560-81.2022.4.01.3136,SEXTA TURMA,1.2.8
2025-12-02,1710560-81.2022.4.01.3136,SEXTA TURMA,2.5.5
2025-12-02,8804777-46.2022.4.01.3314,PRIMEIRA SEÇÃO,1.3.1
2026-01-17,6017207-89.2022.4.01.3473,TERCEIRA TURMA,1.2.5
2026-01-17,6017207-89.2022.4.01.3473,TERCEIRA TURMA,2.5.5
2026-01-20,2276381-14.2025.4.01.3705,QUARTA TURMA,1.4.8
2026-01-20,2276381-14.2025.4.01.3705,QUARTA TURMA,2.2.1
2026-01-05,1019812-55.2020.4.01.3683,SEGUNDA SEÇÃO,1.1.6
2026-01-22,3227711-53.2022.4.01.3064,PRIMEIRA TURMA,1.2.8
2026-01-22,3227711-53.2022.4.01.3064,PRIMEIRA TURMA,2.3.8
2026-01-04,1081164-29.2025.4.01.3903, ,1.1.2
2026-01-11,1014306-50.2025.4.01.3117,QUARTA TURMA,1.1.6
2026-01-11,1014306-50.2025.4.01.3117,QUARTA TURMA,2.2.9
2026-01-03,4370439-69.2024.4.01.3531,CORTE ESPECIAL,1.5.5
2025-12-01,9131449-10.2022.4.01.3337,QUARTA TURMA,1.1.8
2026-01-01,2423315-16.2021.4.01.3292,PRIMEIRA SEÇÃO,1.5.8
2026-01-06,5787618-41.2023.4.01.3088,QUINTA TURMA,1.5.9
2025-12-19,1050494-68.2021.4.01.3750,CORTE ESPECIAL,1.4.9
2026-01-01,3413707-49.2024.4.01.3117,TERCEIRA SEÇÃO,1.2.9
2026-01-19,3454596-88.2021.4.01.3433,SEXTA TURMA,1.4.4
2025-12-03,4947918-94.2022.4.01.3267,CORTE ESPECIAL,1.1.9
