Data da Extração,Número,Polo da PFGN
2025-12-01,9659227-74.2024.4.01.3307,Réu
2025-12-28,5547024-65.2025.4.01.3349,Autor
2025-12-31,1566283-69.2022.4.01.3416,Autor
2025-12-17,2240564-71.2023.4.01.3115,Réu
2025-12-26,8394751-34.2021.4.01.3499,Autor
2026-01-12,8350600-66.2025.4.01.3693,Autor
2025-12-12,9037534-79.2023.4.01.3169,Réu
2025-12-12,2120652-18.2024.4.01.3309,Réu
2026-01-15,2383097-37.2023.4.01.3536,Autor
2025-12-01,1776289-65.2021.4.01.3817,Réu
2025-12-07,8843005-24.2020.4.01.3236,Réu
2025-12-06,4760239-21.2024.4.01.3033,Réu
2025-12-09,4912285-29.2024.4.01.3515,Réu
2025-12-23,7319199-83.2024.4.01.3951,Réu
2026-01-03,3484427-29.2020.4.01.3677,Autor
2025-12-02,1710560-81.2022.4.01.3136,Autor
2026-01-20,2276381-14.2025.4.01.3705,Réu
2025-12-01,9131449-10.2022.4.01.3337,Réu
2026-01-01,2423315-16.2021.4.01.3292,Autor
2026-01-01,3413707-49.2024.4.01.3117,Autor
2026-01-19,3454596-88.2021.4.01.3433,Réu
2025-12-03,4947918-94.2022.4.01.3267,Autor
2026-01-14,5137334-38.2022.4.01.3430,Réu
2025-12-17,6027370-52.2024.4.01.3689,Autor
2026-01-10,7441940-26.2021.4.01.3236,Réu
2025-12-23,4388576-37.2023.4.01.3415,Réu
2026-01-12,1972825-33.2020.4.01.3870,Autor
2026-01-14,8961838-12.2020.4.01.3618,Réu
2026-01-14,8898570-79.2022.4.01.3456,Autor
2025-12-02,4217117-89.2022.4.01.3134,Autor
2025-12-06,3691734-14.2021.4.01.3032,Autor
2026-01-22,4188360-54.2022.4.01.3149,Autor
2025-12-15,5685357-24.2023.4.01.3108,Réu
2025-12-19,8200051-58.2020.4.01.3202,Réu
2025-12-19,3586018-28.2024.4.01.3244,Autor
2025-12-18,4625355-77.2022.4.01.3399,Réu
2025-11-29,9218454-11.2020.4.01.3204,Autor
2026-01-23,8193979-36.2022.4.01.3276,Réu
2026-01-24,5436771-79.2021.4.01.3329,Réu
2026-01-05,8161731-63.2023.4.01.3629,Réu
2026-01-07,6063765-79.2022.4.01.3932,Réu
2025-12-15,6318892-68.2022.4.01.3528,Réu
2025-12-12,6042404-26.2021.4.01.3557,Autor
2026-01-07,7901919-69.2023.4.01.3122,Autor
2026-01-23,4696598-24.2022.4.01.3706,Réu
2026-01-16,7427084-18.2020.4.01.3110,Réu
2026-01-18,7276824-81.2022.4.01.3136,Autor
2025-12-10,6958373-75.2025.4.01.3383,Réu
2026-01-07,8153053-60.2024.4.01.3239,Réu
2026-01-19,5164332-42.2023.4.01.3414,Réu
2025-12-16,2963160-98.2023.4.01.3932,Autor
2025-12-23,7763311-40.2022.4.01.3809,Autor
2025-12-19,6708991-34.2020.4.01.3299,Réu
2026-01-11,9056265-78.2022.4.01.3659,Autor
2025-12-11,5527546-50.2020.4.01.3561,Réu
2025-12-01,1022296-50.2021.4.01.3088,Autor
2025-12-01,1019021-73.2025.4.01.3472,Réu
2026-01-18,7473732-70.2021.4.01.3226,Réu
2026-01-16,9163096-11.2020.4.01.3377,Autor
2025-12-24,2326878-83.2020.4.01.3429,Autor
2025-12-20,6309704-35.2022.4.01.3934,Réu
2025-12-18,2569197-10.2023.4.01.3845,Réu
2026-01-25,2700402-60.2025.4.01.3488,Autor
2026-01-03,7768757-61.2024.4.01.3989,Autor
2026-01-15,3220326-63.2023.4.01.3280,Réu
2026-01-02,5310290-80.2022.4.01.3859,Réu
2026-01-13,7458431-50.2022.4.01.3930,Réu
2025-12-28,4634851-27.2024.4.01.3030,Réu
2025-12-20,3418139-85.2020.4.01.3213,Autor
2025-12-30,3492977-17.2024.4.01.3197,Autor
2026-01-06,2912613-58.2021.4.01.3980,Autor
2025-12-25,1620349-11.2023.4.01.3074,Autor
2025-12-28,9862589-35.2022.4.01.3135,Autor
2025-12-01,8031366-22.2021.4.01.3800,Autor
2026-01-17,5640199-58.2025.4.01.3772,Réu
2026-01-01,4875133-22.2021.4.01.3529,Réu
2025-12-06,3932757-25.2023.4.01.3474,Réu
2025-12-31,7764604-89.2024.4.01.3803,Réu
2026-01-13,1348750-68.2024.4.01.3736,Autor
2025-11-30,7013144-57.2020.4.01.3982,Autor
2025-12-11,1713116-74.2025.4.01.3682,Réu
2026-01-03,3706724-57.2023.4.01.3024,Autor
2025-12-12,8920861-46.2021.4.01.3028,Réu
2025-12-30,9745243-23.2025.4.01.3104,Réu
2025-12-21,1374469-73.2021.4.01.3187,Autor
2026-01-08,4928000-12.2023.4.01.3768,Réu
2026-01-27,3829978-32.2021.4.01.3439,Réu
2025-12-28,7294281-46.2025.4.01.3465,Réu
2026-01-12,9634112-92.2023.4.01.3326,Réu
2026-01-16,7853432-12.2025.4.01.3355,Autor
2025-12-23,3841267-17.2022.4.01.3297,Réu
2026-01-20,2209916-81.2022.4.01.3587,Réu
2025-12-22,9874291-34.2021.4.01.3987,Autor
2025-12-27,5543734-62.2024.4.01.3176,Réu
2026-01-07,8736615-49.2021.4.01.3813,Réu
2026-01-01,7035943-76.2023.4.01.3431,Réu
2025-12-21,2060921-92.2022.4.01.3428,Réu
2026-01-07,3443963-58.2024.4.01.3108,Autor
2026-01-24,8208983-55.2024.4.01.3616,Autor
2026-01-22,4452387-50.2025.4.01.3473,Autor
2025-12-01,1955056-89.2021.4.01.3694,Autor
2026-01-06,3810550-87.2020.4.01.3214,Réu
2026-01-24,2812847-64.2025.4.01.3805,Réu
2026-01-15,5671716-86.2025.4.01.3384,Autor
2025-12-23,7495779-80.2025.4.01.3355,Réu
2025-12-02,5576935-49.2022.4.01.3295,Autor
2026-01-15,3887557-98.2020.4.01.3027,Réu
2026-01-26,4211438-61.2024.4.01.3214,Réu
2025-12-27,2681651-51.2022.4.01.3678,Réu
2025-12-13,3214836-58.2025.4.01.3149,Réu
2025-12-11,4733634-91.2020.4.01.3843,Réu
2025-12-30,8932303-77.2025.4.01.3736,Réu
2025-12-28,3258497-70.2021.4.01.3121,Réu
2025-12-14,3008921-38.2022.4.01.3217,Réu
2026-01-26,3458572-85.2022.4.01.3945,Autor
2026-01-07,6913308-65.2020.4.01.3534,Réu
2025-12-13,1540885-17.2024.4.01.3567,Réu
2026-01-25,1109778-92.2021.4.01.3788,Réu
2026-01-08,3267447-69.2021.4.01.3122,Autor
2026-01-20,1644590-75.2024.4.01.3630,Autor
2026-01-03,7962118-18.2024.4.01.3773,Autor
2026-01-06,4038513-24.2024.4.01.3787,Autor
2026-01-21,7843228-38.2025.4.01.3297,Réu
2026-01-11,7631785-99.2020.4.01.3797,Réu
2026-01-25,7122746-92.2020.4.01.3037,Réu
2025-12-24,4923709-91.2020.4.01.3516,Autor
2026-01-16,2048650-30.2020.4.01.3092,Réu
2026-01-02,6334051-50.2020.4.01.3339,Autor
2026-01-10,6361339-71.2023.4.01.3535,Réu
2025-12-10,5557792-18.2020.4.01.3528,Réu
2026-01-22,5040746-11.2025.4.01.3347,Autor
2025-12-01,6133845-65.2024.4.01.3846,Réu
2025-12-17,9108404-42.2024.4.01.3827,Réu
2025-12-11,9121632-28.2020.4.01.3910,Réu
2025-12-10,8333534-91.2022.4.01.3804,Autor
2025-12-17,8350578-11.2020.4.01.3916,Réu
2025-12-01,9602043-24.2024.4.01.3291,Autor
2025-12-28,2416633-78.2022.4.01.3713,Autor
2026-01-04,6281015-21.2020.4.01.3527,Réu
2026-01-14,8607894-96.2022.4.01.3631,Réu
2025-12-05,3091646-87.2020.4.01.3394,Réu
2025-12-19,2777127-17.2021.4.01.3542,Réu
2025-12-19,5596681-19.2021.4.01.3327,Autor
2025-12-03,7639445-91.2023.4.01.3219,Réu
2025-12-10,6265842-47.2025.4.01.3361,Autor
2026-01-18,5231473-64.2021.4.01.3835,Autor
2026-01-08,7837868-94.2023.4.01.3449,Autor
2026-01-20,1476380-65.2022.4.01.3064,Autor
2025-12-21,8557424-43.2021.4.01.3103,Autor
2026-01-27,4545461-63.2024.4.01.3426,Autor
2025-12-26,8004593-49.2020.4.01.3142,Réu
2026-01-27,1000654-71.2022.4.01.3749,Autor
2025-12-09,4069484-86.2024.4.01.3725,Autor
2025-12-09,4382747-51.2020.4.01.3715,Autor
2026-01-05,7727993-15.2024.4.01.3850,Autor
2026-01-26,8888717-13.2021.4.01.3484,Autor
2025-12-29,6920673-91.2020.4.01.3702,Autor
2025-12-06,2603120-99.2024.4.01.3733,Autor
2026-01-12,2724264-45.2020.4.01.3420,Autor
2025-12-20,7437139-98.2025.4.01.3918,Autor
2025-12-04,8215475-47.2022.4.01.3939,Autor
2026-01-04,6908539-52.2021.4.01.3707,Réu
2026-01-12,8543801-85.2021.4.01.3797,Réu
2025-12-21,1373052-81.2025.4.01.3811,Réu
2025-12-11,7894786-84.2023.4.01.3349,Réu
2025-12-21,2892952-24.2022.4.01.3585,Réu
2026-01-09,3397919-87.2020.4.01.3652,Réu
2026-01-13,1323873-32.2025.4.01.3978,Autor
2025-12-18,1838048-69.2021.4.01.3268,Autor
2026-01-22,7318614-31.2023.4.01.3199,Réu
2025-12-30,9772870-75.2022.4.01.3756,Autor
2025-12-10,4442143-90.2020.4.01.3728,Réu
2025-12-18,7790739-38.2025.4.01.3611,Autor
2026-01-12,3777932-35.2024.4.01.3900,Autor
2025-12-04,7220936-18.2024.4.01.3773,Réu
2025-12-01,1491022-61.2021.4.01.3596,Autor
2026-01-14,3021461-43.2020.4.01.3953,Réu
2025-12-12,7811598-79.2024.4.01.3406,Autor
2025-12-17,1759816-87.2025.4.01.3728,Réu
2025-12-21,2461045-86.2020.4.01.3563,Réu
2026-01-26,1205833-87.2022.4.01.3199,Autor
2026-01-07,1924150-83.2021.4.01.3493,Autor
2026-01-12,2167002-93.2025.4.01.3741,Autor
2025-12-11,3682113-61.2024.4.01.3704,Autor
2025-12-10,9860902-64.2020.4.01.3630,Autor
2025-12-21,3798745-42.2023.4.01.3499,Autor
2026-01-23,8558355-37.2023.4.01.3661,Réu
2026-01-12,9549781-34.2022.4.01.3902,Réu
2026-01-02,9349282-24.2022.4.01.3499,Réu
2025-11-29,3010236-74.2025.4.01.3137,Autor
2025-12-07,1259497-38.2024.4.01.3814,Réu
2025-12-25,4674010-68.2025.4.01.3541,Autor
2025-12-06,5617790-32.2022.4.01.3157,Autor
2026-01-14,9903392-94.2023.4.01.3028,Autor
2025-11-30,7192414-54.2025.4.01.3955,Réu
2026-01-26,9210023-61.2020.4.01.3862,Réu
2026-01-06,9277914-84.2021.4.01.3249,Réu
2026-01-16,4775665-67.2023.4.01.3444,Autor
2025-12-12,4676904-14.2024.4.01.3861,Autor
2026-01-09,1499886-91.2025.4.01.3717,Autor
2025-12-04,8053530-64.2022.4.01.3043,Autor
2025-12-21,5600186-17.2021.4.01.3295,Autor
2026-01-03,9790416-35.2023.4.01.3662,Autor
2025-12-03,7174736-32.2023.4.01.3321,Réu
2026-01-23,2752983-69.2021.4.01.3085,Autor
2026-01-07,7020876-85.2021.4.01.3666,Autor
2026-01-25,5587198-20.2024.4.01.3584,Réu
2026-01-08,9720991-48.2023.4.01.3143,Réu
2026-01-07,6891696-82.2025.4.01.3085,Réu
2025-12-12,9238636-75.2021.4.01.3450,Autor
2025-12-12,9177076-16.2021.4.01.3049,Réu
2025-12-28,5575655-72.2022.4.01.3370,Autor
2026-01-15,1608762-86.2025.4.01.3845,Autor
2026-01-04,2341473-25.2025.4.01.3767,Réu
2025-12-10,2696563-90.2023.4.01.3917,Autor
2026-01-20,3451792-28.2024.4.01.3380,Réu
2026-01-13,7977857-58.2023.4.01.3492,Réu
2025-12-16,8539078-16.2022.4.01.3327,Autor
2026-01-03,6259858-58.2024.4.01.3082,Autor
2025-12-02,3410919-67.2023.4.01.3872,Autor
2025-12-13,7193304-66.2023.4.01.3954,Réu
2026-01-04,9504687-71.2020.4.01.3243,Réu
2026-01-09,3224633-21.2020.4.01.3808,Autor
2025-12-05,6189337-30.2024.4.01.3174,Autor
2026-01-21,6273516-32.2022.4.01.3294,Réu
2026-01-13,6706869-90.2023.4.01.3292,Réu
2025-12-12,1611702-40.2022.4.01.3556,Réu
2025-12-06,6874962-65.2025.4.01.3566,Autor
2026-01-21,6418257-35.2020.4.01.3463,Réu
2026-01-01,4525540-82.2023.4.01.3832,Réu
2025-12-16,6982049-87.2022.4.01.3036,Autor
2026-01-21,1917004-12.2024.4.01.3704,Autor
2025-12-01,2569857-84.2025.4.01.3439,Réu
2025-12-27,8558070-85.2025.4.01.3338,Autor
2025-12-01,3555925-70.2020.4.01.3893,Autor
2026-01-10,2681430-28.2020.4.01.3462,Autor
2025-12-11,3834540-96.2020.4.01.3904,Réu
2025-12-01,8264853-54.2024.4.01.3581,Autor
2025-12-11,5382393-93.2024.4.01.3468,Réu
2026-01-11,3712615-10.2025.4.01.3740,Réu
2025-12-06,9435234-43.2024.4.01.3848,Réu
2025-12-23,8933943-62.2025.4.01.3748,Autor
2025-11-30,7775996-83.2021.4.01.3114,Autor
2026-01-17,6215874-40.2021.4.01.3708,Réu
2026-01-16,3541970-19.2020.4.01.3627,Réu
2026-01-10,8588513-97.2020.4.01.3048,Réu
2026-01-21,1296931-75.2023.4.01.3129,Réu
2025-12-20,7558323-24.2025.4.01.3794,Réu
2026-01-21,5678707-21.2023.4.01.3202,Réu
2026-01-09,2010313-53.2021.4.01.3647,Réu
2025-12-07,5109584-30.2021.4.01.3718,Réu
