Data da Extração,Número,Valor da causa,variable,UF_Unificada
2026-01-05,6435510-84.2023.4.01.3646,49760.34,UF_1,AP
2025-12-01,9659227-74.2024.4.01.3307,44747.28,UF_1,"SC"
2025-12-28,5547024-65.2025.4.01.3349,31735.13,UF_1,TO
2025-12-31,1566283-69.2022.4.01.3416,47884.61,UF_1,DF
2025-12-21,1417929-63.2022.4.01.3235,41606.35,UF_1,PI
2025-12-23,4461636-62.2022.4.01.3568,33911.9,UF_1,"SE"
2026-01-05,9915599-33.2024.4.01.3918,2961.56,UF_1,AC
2025-12-28,4446518-49.2022.4.01.3647,47095.11,UF_1,AC
2025-12-17,2240564-71.2023.4.01.3115,2435.69,UF_1,PI
2025-12-26,8394751-34.2021.4.01.3499,39993.51,UF_1,ES
2025-12-21,7651686-57.2024.4.01.3427,24661.99,UF_1,AC
2026-01-12,8350600-66.2025.4.01.3693,44750.92,UF_1,"GO"
2025-12-08,3300826-80.2023.4.01.3291,34227.97,UF_1,MA
2025-12-11,2241491-38.2022.4.01.3955,3780.85,UF_1,MG
2025-12-02,9930028-22.2021.4.01.3555,6222.15,UF_1,AM
2025-12-18,7108248-39.2022.4.01.3191,22285.6,UF_1,"RJ"
2025-12-12,9037534-79.2023.4.01.3169,22612.24,UF_1,PR
2025-12-12,2120652-18.2024.4.01.3309,9780.09,UF_1,RN
2026-01-15,2383097-37.2023.4.01.3536,48142.25,UF_1,RJ
2025-12-01,1776289-65.2021.4.01.3817,22836.94,UF_1,CE
2025-12-07,8843005-24.2020.4.01.3236,49677.79,UF_1,RR
2025-12-28,5600043-39.2023.4.01.3120,28279.42,UF_1,SC
2025-12-06,4760239-21.2024.4.01.3033,3939.56,UF_1,PB
2025-12-09,9337261-13.2020.4.01.3529,47635.86,UF_1,"PI"
2025-12-09,4912285-29.2024.4.01.3515,4992.53,UF_1,TO
2025-12-15,9686441-99.2025.4.01.3641,45919.1,UF_1,PB
2025-12-05,4634105-61.2022.4.01.3893,14921.38,UF_1,RR
2025-12-28,4290125-11.2021.4.01.3935,33622.14,UF_1,MT
2025-12-15,4627944-65.2025.4.01.3288,32632.51,UF_1,PA
